location_type,city,address,latitude,longitude,hours,phone,source_url,fetched_at
atm,Ухта,"Пр-т Ленина, д. 1, 1 этаж, офис филиала Банка",63.5617,53.6844,Ежедневно с 8-00 до 20-00 часов,,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
atm,Ухта,"Пр-т Ленина, д. 22, опт-маркет «Союз»",63.566,53.6698,Ежедневно с 8-00 до 22-00 часов,,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
atm,Ухта,"пр-т Ленина, д. 57, Ателье ""Молодежная мода""",63.5696,53.653,с 10-00 до 21-00 ежедневно,,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
atm,Ухта,"ул. Бушуева, д. 16, супермаркет «БЕРЁЗКА»",63.5658,53.6986,с 8-00 до 22-00,,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
atm,Ухта,"Пионергорский пр-д, д. 3, ТЦ ""Бенилюкс"", магазин «Магнит»",63.5706,53.6753,с 9-00 до 21-00,,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
atm,Ухта,"пр-т Ленина, д. 4, гостиница «Тиман»",63.5629,53.6806,круглосуточно,,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
office,Ухта,"пр.Ленина, 1",63.5617,53.6836,"в будние дни с 10 до 18-30, в субботу с 10 до 13-30. Выходной: воскресенье",(8216) 74-72-10,https://www.sevnb.ru/offices,2026-04-18T16:50:40+00:00
atm,Сыктывкар,"ул. Первомайская, 68. Офис Банка",61.6677,50.8272,Круглосуточно,,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
atm,Сыктывкар,"ул. Малышева, 1. Торговый комплекс ""Народный рынок"" (цокольный этаж)",61.6889,50.8214,Ежедневно с 09-00 до 19-00,,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
atm,Сыктывкар,"ул. Коммунистическая, 52. Центр торговли ""Аврора""",61.6619,50.8059,"ПН - СБ: с 10 до 20 часов, ВС:с 10 до 19 часов",,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
atm,Сыктывкар,"ул. Колхозная, д.20, магазин «Магнит»",61.6607,50.8465,Ежедневно с 8 до 22.00 часов,,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
atm,Сыктывкар,"ул.Куратова, 73/6 Торговый комплекс ""Рублик""",61.6624,50.8314,"Ежедневно с 9 до 20 часов, санитарный день: каждый второй понедельник месяца, до 15 часов",,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
atm,Сыктывкар,"Автовокзал ТК ""Центральный рынок"" (ул. Морозова, д.202)",61.6389,50.8195,Ежедневно с 9.00 до 20.00 часов,,https://www.sevnb.ru/atms,2026-04-18T16:50:40+00:00
